premise,hypothesis,label
@USER finden Sie wirklich??,Dieser Kommentar enthält Ironie,2
"Man fragt sich, wer Wohnungen baut wenn eine Enteignung droht",Dieser Kommentar enthält Ironie,2
"@USER, wer sich mit den Massen leiten lässt..., dann bitte! Ich sehe keinen Phobie in unserer Umgebung! Haben sehr nette und hilfsbereite Flüchtlinge hier. Wir haben alle zusammen ein harmonisches miteinander und Leben! Was ich aber hier bei uns erlebe ist, dass irgendwelche Trittbrettfahrer der Antifa und Grünen Stimmung machen, indem wir ein Naziproblem hätten! 😂😂😂 Also ich habe hier keine Nazis gesehen... Wenn man nichts anderes im Leben mehr hat, muss man sich irgendwie aufmerksam machen und hervorheben... Eine Phobie und Verfolgungswahn haben beide Seiten!",Dieser Kommentar enthält Ironie,2
Sehr erwachsen.,Dieser Kommentar ist eine externe Quelle,2
Sagen Sie bloß sie sind für grüne,Dieser Kommentar enthält Ironie,2
"Der hat nur das ausgesprochen, was offensichtlich ist. Angst ist die größte Wahlmotivation...",Dieser Kommentar enthält Ironie,2
"Richtig, habe jetzt ausgeschaltet, kann das Gör einfach nicht anhören...",Dieser Kommentar ist ein Lösungsvorschlag,2
@USER Privatbesitz ist nicht gleichzusetzen mit Kollektivbesitz (zb) der Gemeinde! Ich schätze mal das die Privatbesitzer ordentlich Zaster haben.,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Hier wird doch jeder als Rechter bezeichnet,der eine eigene Meinung hat und nicht mit alles einverstanden ist,was hier so abgeht",Dieser Kommentar ist eine Respektbekundung,2
Palsberg hatte noch nie Niveau,Dieser Kommentar ist eine externe Quelle,2
Und für mich sind Sie a u c h eine Deutsche :-),Dieser Kommentar enthält Ironie,2
Das beruhigt aber einen Investor nicht. Der baut dann lieber in einem anderen Bundesland,Dieser Kommentar ist eine Tatsachenbehauptung,2
@MEDIUM Wohl eher ein unterschiedliches Verständnis von Sarkasmus.,Dieser Kommentar enthält Ironie,2
@USER dann geh doch zurück in dein land wenns dir nicht passt,Dieser Kommentar ist eine Respektbekundung,2
Stichwort Infrastruktur vielleicht?,Dieser Kommentar ist eine externe Quelle,2
@USER - sehe ich nicht so. Ich halte meine Frage für voll berechtigt.,Dieser Kommentar ist eine Tatsachenbehauptung,2
