premise,hypothesis,label
"Schublade auf, Schublade zu. Zu mehr Denkleistung reicht es wohl bei dir nicht.","Dieser Text enthält eine Beleidigung",0
"@USER Schon mal was von Physik gehört?","Dieser Text enthält eine Beleidigung",0
"@USER Oh weh das möchten wir uns garnicht vorstellen","Dieser Text enthält eine Beleidigung",0
"Eine ernsthafte Diskussion ist doch völlig überflüssig. Entweder wird alles abgeschaltet oder abgeschafft, was der Grünen Fraktion nicht beliebt, oder es wird nicht ausreichend gehandelt. Das ist die Mentalität der neuen Trendlemminge aus dem Sektor Klimaschutz.","Dieser Text enthält eine Beleidigung",0
"@USER seltsamerweise steigen die Temperaturen mit der sauberen Luft. Seit über 20 Jahren verbessert sich die Luftqualität, seither steigen gleichzeitig die durchschnittliche Mitteltemperatur.","Dieser Text enthält eine Beleidigung",2
"Die Luftqualität ist nicht besser","Dieser Text enthält eine Beleidigung",2
"@USER noch mehr Bürokratie? Gleiches Geld für alle und fertig!","Dieser Text enthält eine Beleidigung",2
"@USER alle ausreisepflichtige Flüchtlinge raus.","Dieser Text enthält eine Beleidigung",2



